Weight,SL,Sample,Copepod,Dive,Province
0.08,20.65,A1,No,CHR0188,South-Central
0.07,19.67,A10,No,CHR0188,South-Central
0.05,19.43,A11,No,CHR0188,South-Central
0.08,21.33,A12,Yes,CHR0188,South-Central
0.09,22.11,A13,No,CHR0188,South-Central
0.2,24.99,A14,No,CHR0188,South-Central
0.11,22.94,A15,No,CHR0188,South-Central
0.16,25.81,A16,No,CHR0188,South-Central
0.18,25.74,A17,No,CHR0188,South-Central
0.13,24.27,A18,No,CHR0188,South-Central
0.03,14.76,A19,No,CHR0188,South-Central
0.08,19.98,A2,No,CHR0188,South-Central
0.12,22.99,A20,No,CHR0188,South-Central
0.15,25.02,A21,No,CHR0188,South-Central
0.01,12.64,A22,No,CHR0188,South-Central
0.01,12.28,A24,No,CHR0188,South-Central
0.09,21.71,A3,No,CHR0188,South-Central
0.07,20.79,A4,No,CHR0188,South-Central
0.04,16.7,A5,No,CHR0188,South-Central
0.05,18.07,A6,No,CHR0188,South-Central
0.1,21.69,A7,No,CHR0188,South-Central
0.09,21.38,A8,No,CHR0188,South-Central
0.03,16.26,A9,No,CHR0188,South-Central
0.08,19.84,AA1,Yes,CHR0269,North-Central
0.06,19.25,AA11,Yes,CHR0269,North-Central
0.08,22.82,AA12,Yes,CHR0269,North-Central
0.1,21.75,AA13,No,CHR0269,North-Central
0.1,21.75,AA14,No,CHR0269,North-Central
0.08,20.11,AA15,No,CHR0269,North-Central
0.07,20.65,AA18,No,CHR0269,North-Central
0.06,18.63,AA2,Yes,CHR0269,North-Central
0.08,20.83,AA3,Yes,CHR0269,North-Central
0.07,21.04,AA4,Yes,CHR0269,North-Central
0.08,21.31,AA5,Yes,CHR0269,North-Central
0.07,21.69,AA6,Yes,CHR0269,North-Central
0.1,23.23,AA7,Yes,CHR0269,North-Central
0.11,22.73,AA8,Yes,CHR0269,North-Central
0.03,18.58,AA9,Yes,CHR0269,North-Central
0.23,28.41,AB1,No,CHR0275,North-Central
0.14,24.71,AB2,Yes,CHR0275,North-Central
0.05,20.12,AB3,Yes,CHR0275,North-Central
0.06,19.22,AC1,No,CHR0277,North-Central
0.07,21.56,AC2,No,CHR0277,North-Central
0.03,17.32,AC3,No,CHR0277,North-Central
0.05,16.95,AC4,No,CHR0277,North-Central
0.03,17.22,AC5,No,CHR0277,North-Central
0.04,18,AC6,No,CHR0277,North-Central
0.04,17.15,AC7,No,CHR0277,North-Central
0.04,18.68,AC8,No,CHR0277,North-Central
0.08,20.23,AD1,No,CHR0281,North-Central
0.08,20.65,AD2,No,CHR0281,North-Central
0.12,24.26,AD3,No,CHR0281,North-Central
0.11,23.25,AD4,No,CHR0281,North-Central
0.09,21.81,AD5,No,CHR0281,North-Central
0.14,25.17,AD6,No,CHR0281,North-Central
0.18,26,AD7,No,CHR0281,North-Central
0.11,23.45,AD8,No,CHR0281,North-Central
0.27,29.72,AE1,No,CHR0285,North
0.1,22.3,AE2,No,CHR0285,North
0.11,23.28,AG1,No,CHR0291,North
0.09,24.46,B1,No,CHR0191,South-Central
0.02,15.85,C1,No,CHR0192,South-Central
0.12,21.66,D1,No,CHR0197,Central
0.07,18.56,D10,Yes,CHR0197,Central
0.09,18.92,D100,Yes,CHR0197,Central
0.07,20.14,D101,Yes,CHR0197,Central
0.06,17.3,D102,Yes,CHR0197,Central
0.07,18.74,D103,No,CHR0197,Central
0.11,21.8,D104,No,CHR0197,Central
0.16,24.43,D105,No,CHR0197,Central
0.07,19.48,D106,No,CHR0197,Central
0.13,23.02,D107,Yes,CHR0197,Central
0.07,20.43,D108,Yes,CHR0197,Central
0.09,20.71,D109,No,CHR0197,Central
0.13,21.52,D11,Yes,CHR0197,Central
0.08,20.34,D110,Yes,CHR0197,Central
0.07,19.31,D111,Yes,CHR0197,Central
0.08,20.19,D112,No,CHR0197,Central
0.08,20.45,D113,Yes,CHR0197,Central
0.07,18.94,D114,Yes,CHR0197,Central
0.07,20.04,D115,Yes,CHR0197,Central
0.07,18.85,D116,No,CHR0197,Central
0.08,20.55,D117,No,CHR0197,Central
0.07,19.55,D118,Yes,CHR0197,Central
0.09,22.29,D119,Yes,CHR0197,Central
0.11,21.33,D12,Yes,CHR0197,Central
0.05,18.96,D120,No,CHR0197,Central
0.1,21.74,D121,Yes,CHR0197,Central
0.12,23.14,D122,Yes,CHR0197,Central
0.08,21.55,D123,Yes,CHR0197,Central
0.11,21.2,D124,No,CHR0197,Central
0.12,20.65,D125,Yes,CHR0197,Central
0.07,19.9,D126,No,CHR0197,Central
0.07,17.91,D127,Yes,CHR0197,Central
0.09,21.42,D128,Yes,CHR0197,Central
0.08,20.34,D129,No,CHR0197,Central
0.09,20.05,D13,No,CHR0197,Central
0.08,19.86,D130,Yes,CHR0197,Central
0.08,21.37,D131,No,CHR0197,Central
0.09,20.7,D132,No,CHR0197,Central
0.07,20.58,D133,No,CHR0197,Central
0.06,18.19,D134,Yes,CHR0197,Central
0.13,24.12,D135,No,CHR0197,Central
0.05,17.85,D136,No,CHR0197,Central
0.09,20.39,D137,Yes,CHR0197,Central
0.05,18.92,D138,Yes,CHR0197,Central
0.09,22.56,D139,Yes,CHR0197,Central
0.06,18.78,D14,No,CHR0197,Central
0.07,21.32,D140,No,CHR0197,Central
0.07,21.2,D141,Yes,CHR0197,Central
0.08,20.87,D142,Yes,CHR0197,Central
0.12,23.81,D143,No,CHR0197,Central
0.06,18.69,D144,Yes,CHR0197,Central
0.06,20.2,D145,Yes,CHR0197,Central
0.05,17.54,D146,Yes,CHR0197,Central
0.05,17.3,D147,No,CHR0197,Central
0.05,18.26,D148,Yes,CHR0197,Central
0.05,17.6,D149,Yes,CHR0197,Central
0.05,16.78,D15,Yes,CHR0197,Central
0.04,18.42,D150,No,CHR0197,Central
0.05,19.8,D151,Yes,CHR0197,Central
0.03,17.52,D152,No,CHR0197,Central
0.03,17.37,D153,Yes,CHR0197,Central
0.05,18.65,D154,Yes,CHR0197,Central
0.12,23.38,D155,No,CHR0197,Central
0.06,20.24,D156,Yes,CHR0197,Central
0.05,18.35,D157,Yes,CHR0197,Central
0.06,19.01,D158,Yes,CHR0197,Central
0.04,15.67,D159,Yes,CHR0197,Central
0.1,20.97,D16,Yes,CHR0197,Central
0.05,17.12,D160,Yes,CHR0197,Central
0.16,23.06,D17,Yes,CHR0197,Central
0.09,21,D18,Yes,CHR0197,Central
0.11,21.49,D19,No,CHR0197,Central
0.09,20.05,D2,No,CHR0197,Central
0.08,18.77,D20,No,CHR0197,Central
0.06,17.43,D21,Yes,CHR0197,Central
0.1,20.54,D22,Yes,CHR0197,Central
0.11,20.06,D23,Yes,CHR0197,Central
0.07,17.9,D24,No,CHR0197,Central
0.13,21.74,D25,No,CHR0197,Central
0.1,20.13,D26,No,CHR0197,Central
0.1,20.2,D27,Yes,CHR0197,Central
0.11,22.67,D28,No,CHR0197,Central
0.05,18.28,D29,Yes,CHR0197,Central
0.1,19.09,D3,Yes,CHR0197,Central
0.04,14.89,D30,Yes,CHR0197,Central
0.04,16.73,D31,Yes,CHR0197,Central
0.06,18,D32,Yes,CHR0197,Central
0.09,18.86,D33,Yes,CHR0197,Central
0.06,19.77,D34,Yes,CHR0197,Central
0.08,20.43,D35,Yes,CHR0197,Central
0.08,19.59,D36,Yes,CHR0197,Central
0.09,19.16,D37,Yes,CHR0197,Central
0.12,21.4,D38,Yes,CHR0197,Central
0.05,17.08,D39,Yes,CHR0197,Central
0.1,19.83,D4,Yes,CHR0197,Central
0.05,17.79,D40,Yes,CHR0197,Central
0.1,21.08,D41,Yes,CHR0197,Central
0.14,20.97,D42,Yes,CHR0197,Central
0.08,19.48,D43,Yes,CHR0197,Central
0.08,20.15,D44,No,CHR0197,Central
0.11,22.33,D45,Yes,CHR0197,Central
0.05,17.35,D46,No,CHR0197,Central
0.07,19.49,D47,Yes,CHR0197,Central
0.1,20.96,D48,Yes,CHR0197,Central
0.09,19.78,D49,No,CHR0197,Central
0.07,19.42,D5,Yes,CHR0197,Central
0.13,22.73,D50,Yes,CHR0197,Central
0.06,17.72,D51,Yes,CHR0197,Central
0.05,17.35,D52,Yes,CHR0197,Central
0.08,19.15,D53,Yes,CHR0197,Central
0.07,19.05,D54,No,CHR0197,Central
0.09,18.67,D55,Yes,CHR0197,Central
0.1,19.66,D56,No,CHR0197,Central
0.12,21.32,D57,No,CHR0197,Central
0.05,18.8,D58,No,CHR0197,Central
0.09,20.63,D59,No,CHR0197,Central
0.07,16.77,D6,No,CHR0197,Central
0.14,22.48,D60,No,CHR0197,Central
